surrounding words	9-20103-S
taken in by a stratagem	2-81749-B
taken in by sb s deceit	1-54246-B
taken in solution	37-13401-S
taken in traditional chinese medicine	20-31477-S,36-27004-S,52-29356-S
taken prisoner	21-9661-S
taken to be yellow emperor 黃帝 黄帝 and four of his sons zhuan xu 顓頊 颛顼	3-49838-S
taken to mean song	61-47835-S
taken too late to be effective	29-53474-S
taken too seriously	18-33654-S
taken up by an object	19-65611-S
taken up later in speech or writing	24-1683-S
takes a long time to make a big pot 成语 saw	17-10568-S
takes all sorts to make a world	71-61068-S
takes an exam for sb else	34-44394-S
takes another s meaning	5-65302-S
takes effect slowly	25-49483-S,25-49592-S
takes ones breath away	69-62703-S
takes place	51-32633-S
takes ten years to nurture a tree	44-53411-S
takes two to tango	19-13127-S
takes what he needs	12-28818-S
takesawa japanese name	40-16217-S
takeshi	20-68012-S
takeshima korean dokdo 獨島 独岛	48-2413-B
takeshima 竹島 竹岛	42-19172-S
takin budorcas taxicolor	26-54506-B
takin type of goat antelope	51-9872-B
taking	62-49835-S
taking a graduate exam	51-33807-B
taking a job	25-61189-S
taking a short cut 成语 saw	56-31004-S
taking a stroll	44-2328-S
taking advantage of sb s weakness	30-13879-S
taking and leaving	11-37681-S
taking as one s main principle	32-66457-B
taking away the soul after death	40-50255-S
taking care to watch one s back	42-11111-B
taking dictation from beyond the grave	26-56230-S
taking everything into account 成语 saw	39-38702-B
taking extra trouble	68-22231-S
taking great pains	9-15246-B
taking into account all factors	49-52905-S
taking off and landing	60-18919-B
taking or eating more than one s due 成语 saw	16-54802-B
taking part in a competition	11-40787-B
taking part in battle	23-63496-S
taking people as fundamental	4-35812-B
taking poison	35-64050-S
taking real numbers as values of a function	20-12155-B,20-13251-B
taking risks	26-59773-B
taking sides	15-51688-S
taking the capitalist road	60-13916-S
taking the long and broad view	44-25630-B,70-18635-B
taking time to think 成语 saw	1-69119-S
takings	43-50141-S,43-50258-S
takizawa or takesawa japanese name	40-16217-B
taklamakan desert	16-16240-B
taklamakan desert in central asia	16-16121-B
taklaman desert in xinjiang	16-16031-B
takraw sport	55-33128-S
taku forts	17-24768-B
talal al saud of saudi arabia	66-9604-S
talc	39-29091-B
talcum powder	69-29444-B
tale	11-23434-S,13-8976-S,19-10539-S,25-31263-S,29-58453-B,46-61394-S,47-64909-S
tale cowherd and weaving maid 牛郎織女 牛郎织女	41-49104-S,41-64050-S,41-64222-S
tale of courtesan li wa	33-1707-B
tale of the white snake	44-45687-B
talent	2-61043-S,4-6210-S,4-9911-S,4-10590-S,5-9308-B,5-32572-S,8-4561-B,9-1674-S,9-1737-S,9-1864-S,9-1993-S,9-1993-S,16-37226-S,17-18573-S,17-44473-B,17-47246-B,17-53961-S,23-17737-S,24-1768-S,26-37150-B,26-37797-S,26-38168-B,26-38226-S,26-38625-B,27-44014-S,29-42299-S,36-25964-B,37-4124-S,38-7683-S,40-29753-S,41-33166-S,45-42521-S,49-45390-S,52-55051-S,55-45303-S,58-62432-S,60-56455-B,63-3250-S,67-3342-S,68-39807-S,68-56954-S
talent and have great respect for it	58-62485-S
talent and learning	26-37565-B
talent and make use of ability mencius	20-44051-S
talent and shallow learning 成语 saw	26-38019-S
talent but no opportunity	26-590-S
talent can recognize current trends 成语 saw a wise man submits to circumstances	58-62673-S
talent competition	63-893-B
talent esp literary	26-38405-S
talent from abroad to develop the nation effectively	4-25249-S
talent humble expr 	66-62548-S,66-62664-S
talent in both military and civil field 成语 saw	26-37237-B
talent matures slowly	17-10568-S
talent show	63-893-B
talent to the fullest	4-14809-S,4-14927-S
talent while protecting the common people	20-44160-S
talent will arouse the envy of others	26-1115-S
talent will reveal itself	52-33765-S
talent worth head hunting	4-9911-S,4-10590-S
talent 成语 saw	21-47678-S,24-26725-S,26-37845-S,26-38287-S,26-38512-S,26-38739-S,39-26042-S
talented	5-32518-B,6-19487-B,7-45891-S,16-57692-S,16-57758-S,17-47246-B,24-26652-S,66-60956-B
talented and call the valorous 成语 saw	27-44014-S
talented and good looking 成语 saw	26-38859-B
talented in letters and unconventional in life style	68-55732-B
talented man and beautiful woman	43-46166-S
talented person	4-9911-B,4-10590-B,59-58222-S
talented person in an insignificant position	17-21856-S
talented personnel	50-61661-S
talented 成语 saw	11-7134-S
talents	11-63294-S,32-3251-S,38-51200-S,55-18712-S
talents of the ming	36-58106-S
talents 成语 saw	26-590-S
tales	17-18756-S,27-65042-S,28-58358-S,35-58308-S,47-64852-S,50-39874-S,50-39945-S,58-54291-S
tales from a verbose studio	51-43738-S
tales of the supernatural by pu songling 蒲松齡 蒲松龄	51-43738-S
tales of yanzi	31-44377-B
tales old and new by feng menglong 馮夢龍 冯梦龙	12-328-B
tali city in taiwan	17-37204-S
taliao village in taiwan	17-15482-S
talib c 600 661	66-13090-S
taliban	16-16322-B
talin town in taiwan	17-22369-S
talipot palm corypha umbraculifera	59-29351-B
talipot palm leaves 成语 saw	34-17009-S
talisman	27-11379-S,48-5931-B,67-52888-S
talisman or lucky charm	48-6931-S
talk	3-10530-S,6-45917-S,6-49410-S,8-23291-S,8-23392-S,11-23295-S,13-57209-S,14-12860-S,14-45025-S,16-9391-B,16-35320-S,18-10308-S,18-33871-S,20-47769-S,24-48262-S,24-65877-S,25-23114-S,25-23316-S,25-23521-S,26-43373-S,28-60925-S,31-64026-S,32-43688-S,42-40688-S,43-17471-S,45-24457-S,45-24612-S,45-30560-S,45-58847-S,47-49516-S,47-49583-S,48-5268-S,48-50067-S,50-45476-S,51-35395-S,52-1838-S,54-11095-S,57-55691-B,57-56089-B,58-6276-S,58-15688-B,58-26363-S,58-33219-S,58-33219-B,58-40628-S,58-41902-B,58-46204-S,58-55340-S,59-2175-S,65-19764-S,65-31324-S,65-45781-S,68-56771-B,69-55208-S,70-21708-S
talk about	30-833-S,58-40976-S,58-42012-S,58-44001-S,58-55549-S,59-3729-S
talk about former times	30-721-S
talk about it	5-19307-S
talk about it later	8-9933-S
talk about sb s weak point	13-45271-S
talk about sth	58-54238-S
talk about sth often overlooked or non confirmable	41-34232-S
talk about the weather	20-9432-S
talk and laugh as though nothing had happened	58-41653-S
talk back	23-43153-S
talk but little action	67-22549-S
talk carelessly	23-37771-S
talk casually	26-54932-S
talk cheerfully and wittily	58-41795-S
talk endlessly	58-41092-S
talk endlessly without getting to the point	49-49995-S,49-50513-S
talk evasively	12-68373-B
talk face to face	68-2413-S
talk frankly and openly between ourselves	65-41782-S,65-42002-S
talk freely	50-30705-S,50-30754-S
talk freely to one s heart s content	31-64026-S
talk in a roundabout way to cover up the truth	29-37873-S
talk in official jargon	26-42825-S,26-42953-S
talk in one s sleep	17-2996-S
talk in sleep	14-44047-B
talk incessant nonsense	46-38708-S,46-38799-S
talk indistinctly	13-14795-S
talk irresponsibly	18-33871-S,45-58465-S,45-58537-S
talk loan	38-41954-B
talk nonsense	3-26746-S,18-33808-S,29-51675-S,45-58465-S,45-58537-S,52-21593-S,52-22863-B
talk of love 成语 saw	58-41353-S
talk of the town	39-36991-S
talk officiously	26-42825-S,26-42953-S
talk on and on without stopping	12-7520-S
talk or act in one s sleep	29-6740-S
talk or conversation	58-16401-S
talk or manner	14-12480-S
talk out of place	23-37771-S
talk over	13-61666-S,57-63426-S
talk over sb s head	20-52736-S
talk over telephone	62-13904-B
talk really well 成语 saw	52-28093-S
talk rubbish	52-22917-S
talk sb over	58-32701-S
talk the listener can take or leave 成语 saw	18-33654-S
talk things over	10-64305-S
talk to	58-41200-S
talk to oneself	53-13815-B
talk together	14-33822-B
talk too much	11-67198-S
talk with each other	3-71743-B
talkative	14-10883-B,14-31803-B,14-44184-B,16-55160-B,16-55268-B,58-59486-B,59-2175-B,59-35236-B
talker	53-61249-S,53-61249-S
talkie	16-12141-S,20-56608-S,35-43183-S
talking	4-70760-S,8-36470-S,10-2557-S,28-43434-S,37-22161-S,66-12279-S
talking and laughing	48-5268-B
talking at once	1-27226-S
talking bird	25-13727-S,47-23525-S
talking endlessly	13-44656-B
talking in one s sleep	17-2216-B
talking makes a tiger 成语 saw	1-29980-S
talking non stopping	39-30442-B
talking of anything under the sun	58-41092-B
talking with sb	58-9046-S,61-36402-S
talking 成语 saw	27-58611-S,27-58821-S
talks	7-44412-S,13-22453-S,13-25377-S,13-61407-S,16-64428-S,32-25326-B,38-51469-S,58-54343-S,59-49370-S
talks big	17-29393-S
talks on north korea	7-67542-S
talks on north korea s nuclear program	32-50516-B
tall	14-14373-B,68-28146-B,70-10993-B,70-12914-B,70-20661-S,70-24085-B
tall along water	55-1586-S
tall and majestic of physical object such as trees	52-3607-S
tall and see far 成语 saw	44-25630-S,70-18635-S
tall and straight	9-64342-B,28-149-B
tall and straight e g tree trunks	70-14151-B
tall and straight of trees	35-2104-B
tall and strong	4-19289-B
tall and strongly built	31-18486-B
tall and sturdy	70-33093-B
tall and thin	5-49731-B
tall and upright of large building	45-62121-S
tall appearance	70-24323-B
tall bamboo	48-40013-S,55-1534-S
tall building	23-4557-B,23-4593-B
tall buildings and large mansions	70-16505-B
tall grass	54-522-S
tall or short	70-18779-S
tall or short 成语 saw	2-31022-S
tall person	17-6084-B
tall tree attracts the wind 成语 saw	34-60695-S
tall trees	14-14664-S
taller 成语 saw	62-5116-S
tallinn capital of estonia	16-17675-B
tallow tree	34-8025-B,40-36588-B
tally	12-34662-S,34-32124-B,45-30200-S,48-5931-B
tally for going through a pass	34-23476-B
tally with	2-23276-S
tallying with	48-6114-B
talmud	42-14794-S
tam 1949 	50-58647-S
tam 1950 	58-64083-S
tamar name	16-17916-B
tamarisk	35-11121-B
tambora	15-52772-B
tambour	50-38905-B
tambura	8-15978-S
