sediment content	61-17816-B
shaanxi	1-32204-S,3-3459-S,3-25184-S,3-25640-S,5-3446-S,5-11367-S,9-66819-S,10-52354-S,11-4520-S,12-38202-S,13-57-S,13-717-S,13-13839-S,13-30507-S,13-58362-S,13-59365-S,15-61615-S,17-33674-S,17-59820-S,19-1723-S,19-2186-S,19-26091-S,19-27822-S,19-48162-S,19-49157-S,19-49416-S,20-7246-S,20-7833-S,20-17409-S,20-20120-S,20-20187-S,21-32866-S,21-33122-S,21-33438-S,21-34309-S,21-46369-S,22-37716-S,22-63283-S,23-16751-S,23-17158-S,23-57047-S,24-44507-S,26-25327-S,26-56508-S,30-25277-S,31-16565-S,31-16626-S,33-45190-S,34-29577-S,34-38374-S,35-7673-S,35-44345-S,35-44577-S,35-44647-S,36-50003-S,37-21093-B,37-51743-S,37-55676-S,37-55932-S,38-28790-S,38-52248-S,38-63425-S,39-4955-S,39-47924-S,39-51250-S,39-64847-S,39-65418-S,40-17269-S,43-14574-S,43-48859-S,43-56788-S,44-40844-S,44-41546-S,45-14314-S,45-36611-S,46-8227-S,46-42286-S,46-57961-S,47-8649-S,48-46155-S,49-30266-S,49-56899-S,51-24453-S,52-61052-S,53-24482-S,54-31593-S,54-33826-S,54-35683-S,54-36468-S,55-804-S,55-28943-S,57-16746-S,57-23430-S,63-32356-S,63-32517-S,64-53580-S,64-53918-S,64-54131-S,64-54330-S,65-15927-S,65-53467-S,65-53534-S,65-53621-S,66-19113-S,66-19223-B,66-19223-S,66-19474-B,66-26644-S,66-51421-S,67-60944-S,68-11896-S,68-11967-S,68-12038-S,70-23311-S,70-52607-S,70-52665-S,71-10918-S,71-10977-S,71-24653-S,71-26252-S
shaanxi and gansu	44-40909-S
shaanxi and gansu provinces	66-19412-B
shaanxi and sichuan	66-51143-S
shaanxi earthquake of 2nd february 1556 that killed 830	66-19666-S
shaanxi folk song the east is red 東方紅 东方红	29-64167-S
shaanxi forming natural barrier between guanzhong plain 關中平原 关中平原 and han river 汉水 valley	47-24151-S
shaanxi province	33-6930-S,39-34239-S
shaanxi province shensi in central north china	66-19584-B,66-19797-B
shaanxi province 陕西	47-23339-S
shaanxi through the guanzhong 關中 关中 plain	39-4776-S,39-5151-S,39-5252-S
shaanxi 陝西 陕西	23-16845-S,40-17269-S,40-17356-S
shaanxi 陝西 陕西 province	66-19306-S
shabby	29-66363-B,30-5755-B,46-17835-B,46-19963-B
shabby old table	46-17923-B
shache in kashgar prefecture	54-22310-S,54-22389-S
shack	34-22410-B,34-22451-B
shackled and chained	64-59257-B
shackled pig	59-22657-S
shackles	64-32672-B,64-52639-B
shad	70-46221-B,70-46713-B
shad with a head like a sturgeon	70-42497-S
shaddock	33-44984-B,33-45022-B
shade	3-13706-S,22-63487-B,23-6083-B,31-43035-S,50-51383-B,51-20297-S,52-18745-S,55-9853-B,55-13468-B,68-51088-S
shade in the clouds to offset the moon 成语 saw	40-41434-S
shade of a color	40-7028-B
shade of a tree etc	22-58518-S
shade of some color	10-47564-S
shade of trees	34-62494-B
shading in a picture	40-41026-S
shadow	5-17278-S,7-36565-S,23-54390-S,23-58751-B,23-59055-B,23-59313-B,31-61218-B,31-61431-S,60-37876-S,60-38372-S,66-24168-B
shadow cabinet	23-59363-B
shadow cosmetic	45-49126-S
shadow play	44-65570-B
shadowboxing	26-44824-S
shadowboxing or taiji	17-59600-B
shadows 成语 saw	28-5521-S
shadowy	32-41321-B
shady	1-65506-B,32-2105-B,52-18745-B,66-23523-B,66-24750-B,67-53636-B
shady business	10-12744-B,31-3456-S,33-54275-S
shady place	66-24791-B
shady side	66-26052-B
shaft	6-34419-S,28-16753-S,31-60552-S,34-30110-S,45-62434-B,46-43905-S,46-44085-S,48-27638-B,48-43909-S,61-6713-B
shaft of a pen or writing brush	48-15290-S
shafts of cart	61-20536-B
shaggy	36-15258-B,36-17390-B,70-24450-B
shaggy dog	21-8675-B,21-8717-B
shahe city in hebei	37-16240-S
shaitan	29-6264-S,29-7365-S
shake	28-35728-S,28-53734-B,28-53841-B,28-54160-S,28-54741-S,28-57773-B,29-17269-B,29-31198-B,34-46129-S,55-15614-B,67-39859-B,67-39967-B,67-40228-B,67-40797-S,68-46489-S,68-49625-S,68-49752-S
shake and boil	28-54435-S
shake hands	27-22975-S,28-47410-B,28-47502-S,28-47605-S
shake one s body	28-54616-S
shake one s sleeve and leave 成语 saw	28-45562-S
shake out	27-3747-B
shake to smite	29-2929-S
shaken by a fall	65-24406-B
shaken by poverty	59-36824-S
shaken by thunder 成语 saw	67-23076-S
shakes the stone tower 成语 saw	56-6180-S
shakespeare	18-46551-S
shakespeare 1564 1616	18-46884-S,54-22058-S
shakespeare name	54-22058-B
shakespearian character	47-4468-S
shaking	15-47009-B,17-52889-S,28-16053-S,51-21417-S
shaking in fear	69-61724-B
shaking of the body	13-36222-S
shaking one to the core 成语 saw	10-2698-B,69-60946-B
shaking the whole world	12-20247-S
shaking 成语 saw	69-60447-S
shakyamuni buddha	23-50577-S,23-50710-S
shale	68-19327-B
shalikashvili head of us joint chiefs of staff	37-14658-S
shall	20-37159-B
shall last	15-38443-S
shall prevail as standard for rules	40-32865-B
shallot	55-22753-B
shallow	5-50854-B,38-50649-S,38-56035-B,45-66714-S,48-49364-B,52-47322-B,59-5879-B,63-32272-B
shallow and crude	38-57787-B
shallow by the classicists	69-50763-S
shallow container	45-1404-B
shallow knowledge or skill	38-57325-S
shallow learning 成语 saw	26-38019-S
shallow opinion	38-57618-B
shallow orthography	38-56577-B
shallow orthography governed by simple rules	38-56474-B
shallow plowing	38-57466-B
shallow reef	38-57412-B
shallow sea	38-56943-B
shallow study	38-56398-B
shallow understanding	2-16755-S
shallow water	38-39791-B,38-56838-B,46-38222-S
shallow water sediment	38-39828-S,38-39903-S
shallows	38-57088-B
shallows or sandbar	38-57145-S
shalu town in taiwan	37-17926-S
sham	55-50923-B,55-54110-S
sham chun river	38-49227-B
sham gestures of politeness	55-53901-B
sham tseng area in hong kong	38-48426-B
shaman	21-62674-S,21-63191-B,21-63242-B
shaman among the yi nationality	43-54690-S
shamanism	55-25235-B
shambles	1-5398-S,44-18392-S
shame	2-27954-S,23-4899-S,24-46148-S,25-728-B,25-875-B,25-41517-S,25-43821-S,25-44004-S,40-51942-S,51-10058-B,51-10149-S,51-10348-B,54-63946-S,58-14834-S,58-53081-B,58-63150-S
shame and remorse	25-43742-S
shame of the family must not be spread abroad 俗语 common expression	19-64414-S
shame often with a negative	58-63150-S
shameful	2-36883-B,8-46220-B,12-13024-B,63-48528-B
shameless	2-27954-B,11-29874-B,35-58736-B,40-51942-B,54-17941-B,59-62875-B
shamelessly	38-36082-B,53-17287-S
shampoo	37-53019-B,37-54992-B,37-55041-S,37-55099-B,37-55159-B,37-55266-B,69-26629-S
shampoo powder	37-55209-B
shan	14-16290-S,21-28423-S,33-6319-S,65-24406-S
shan county in henan	66-19528-B
shan county in shandong	14-20785-B
shan plateau of east myanmar burma	29-10531-B
shan prefecture level city in hebei	13-51510-S
shan state of east myanmar burma	29-10461-B
shan4	65-21183-S
shanbei	66-19370-B
shanda entertainment prc computer game company	45-4622-B
shandan place in gansu	21-28653-S
shandong	3-48479-S,3-49734-S,3-54250-S,7-22914-S,8-13163-S,9-7172-S,11-7300-S,11-9702-S,12-17918-S,13-12716-S,13-60776-S,14-20785-S,14-28436-S,15-48711-S,16-30766-S,16-38140-S,16-41426-S,18-47698-S,18-47772-S,19-22771-S,19-48517-S,20-8978-S,20-18487-S,20-20326-S,21-28716-S,21-35191-S,21-37010-S,21-46588-S,21-48100-S,21-48626-S,21-48673-S,21-62338-S,22-45578-S,22-45812-S,23-15798-S,24-18993-S,24-25629-S,24-25816-S,25-18209-S,25-52848-S,26-10421-S,29-59627-S,30-51002-S,31-10321-S,31-10437-S,31-20856-S,32-6122-S,32-13658-S,33-18026-S,33-18400-S,33-19797-S,33-21750-S,33-21828-S,33-25531-S,34-7601-S,34-9398-S,34-9472-S,34-9546-S,34-22023-S,34-22103-S,34-41257-S,34-50020-S,35-45144-S,35-52471-S,36-64863-S,36-64969-S,37-2634-S,37-2696-S,37-2760-S,37-18278-S,37-19462-S,37-25960-S,37-35525-S,37-45230-S,37-45879-S,37-45957-S,37-46052-S,37-46136-S,37-46345-S,38-40031-S,38-40101-S,38-40182-S,39-2716-S,39-30577-S,39-30577-S,39-30837-S,39-30986-S,40-673-S,40-9140-S,40-9215-S,40-9312-S,40-9877-S,40-11041-S,40-11117-S,40-11215-S,40-11347-S,40-11423-S,40-11520-S,40-54964-S,41-1831-S,41-1905-S,41-2001-S,43-2192-S,47-10168-S,47-63560-S,51-43280-S,51-43360-S,51-43462-S,52-11077-S,52-58435-S,52-59383-S,52-59455-S,52-59549-S,52-59632-S,52-60159-S,52-60376-S,52-62523-S,54-8275-S,54-8328-S,54-19824-S,54-22597-S,54-22659-S,54-23005-S,54-28884-S,54-28926-S,54-28996-S,54-40442-S,54-40514-S,54-64308-S,55-2981-S,55-22185-S,58-47756-S,59-47806-S,63-24941-S,63-25009-S,63-29246-S,63-29300-S,63-29403-S,63-31138-S,63-31256-S,63-31366-S,64-15821-S,65-17207-S,66-31011-S,66-34748-S,66-36679-S,67-55196-S,70-12448-S,70-23777-S,70-36689-S,70-39874-S,70-40421-S,71-53977-S
shandong as principal or ancestor of the five sacred mountains 五嶽 五岳	21-37066-S
shandong cuisine	70-41259-B
shandong culture	71-54248-S
shandong often in connection with confucius	70-40330-S
shandong on the double ninth festival poem by tang wang wei s 王維 王维	3-19248-S
shandong opera	33-49147-B
shandong peninsula	21-30162-B
shandong place names	17-69373-S
shandong province	11-2728-S,21-45667-S,52-48710-S
shandong province shantung in northeast china	21-30079-B,21-30314-B
shandong university	21-30238-B
shandong 山東 山东 province in east china	70-39769-S
shang	21-6819-S,35-47974-S
shang 11th century bc	13-61165-S,49-3639-S
shang dynastry 16 11th century bc	44-47599-S
shang dynasty	13-57586-S,35-65636-S,55-21319-S,55-21417-S
shang dynasty 16th 11th century bc on tortoiseshells or animal bones	11-11642-S
shang dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-S
shang dynasty c 1600 1046 bc	13-59653-B
